PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Joey Larson,Bridgeport Islanders,52,15,11,26,0.212,0.288,0.5,0.404,-1,https://www.eliteprospects.com/player/359529/joey-larson
Luke Haymes,Toronto Marlies,56,15,11,26,0.196,0.268,0.46,0.357,-2,https://www.eliteprospects.com/player/479794/luke-haymes
Danila Klimovich,Abbotsford Canucks,52,13,13,26,0.25,0.25,0.5,1.115,-20,https://www.eliteprospects.com/player/618501/danila-klimovich
Gavin Hayes,Rockford IceHogs,57,13,13,26,0.228,0.228,0.46,0.246,-13,https://www.eliteprospects.com/player/635399/gavin-hayes
Brendan Gaunce,Cleveland Monsters,30,12,14,26,0.467,0.4,0.87,0.6,-3,https://www.eliteprospects.com/player/76290/brendan-gaunce
Alex Bump,Lehigh Valley Phantoms,36,11,15,26,0.417,0.306,0.72,0.611,-2,https://www.eliteprospects.com/player/623782/alex-bump
Oskar Olausson,Iowa Wild,50,10,16,26,0.32,0.2,0.52,0.4,-2,https://www.eliteprospects.com/player/430916/oskar-olausson
Maksymilian Szuber,Tucson Roadrunners,52,10,16,26,0.308,0.192,0.5,0.846,4,https://www.eliteprospects.com/player/393666/maksymilian-szuber
Phil Di Giuseppe,Manitoba Moose,55,10,16,26,0.291,0.182,0.47,1.2,-14,https://www.eliteprospects.com/player/62746/phil-di-giuseppe
Kole Lind,Texas Stars,55,10,16,26,0.291,0.182,0.47,1.327,-12,https://www.eliteprospects.com/player/200933/kole-lind
Brian Pinho,Charlotte Checkers,58,8,18,26,0.31,0.138,0.45,0.276,7,https://www.eliteprospects.com/player/132024/brian-pinho
Ty Nelson,Coachella Valley Firebirds,52,7,19,26,0.365,0.135,0.5,0.5,7,https://www.eliteprospects.com/player/603794/ty-nelson
Anton Wahlberg,Rochester Americans,53,6,20,26,0.377,0.113,0.49,0.34,6,https://www.eliteprospects.com/player/643681/anton-wahlberg
Corey Schueneman,totals,59,4,22,26,0.373,0.068,0.44,0.305,3,https://www.eliteprospects.com/player/118661/corey-schueneman
Kevin Korchinski,Rockford IceHogs,50,2,24,26,0.48,0.04,0.52,0.96,-21,https://www.eliteprospects.com/player/516605/kevin-korchinski
Aatu Jamsen,Ontario Reign,51,15,10,25,0.196,0.294,0.49,0.431,2,https://www.eliteprospects.com/player/557189/aatu-jamsen
Lassi Thomson,Belleville Senators,55,14,11,25,0.2,0.255,0.45,0.982,1,https://www.eliteprospects.com/player/372919/lassi-thomson
Nathan Smith,Charlotte Checkers,34,12,13,25,0.382,0.353,0.74,0.971,1,https://www.eliteprospects.com/player/484201/nathan-smith
Tucker Robertson,Lehigh Valley Phantoms,50,12,13,25,0.26,0.24,0.5,0.58,5,https://www.eliteprospects.com/player/619190/tucker-robertson
Evan Vierling,Chicago Wolves,55,12,13,25,0.236,0.218,0.45,0.182,-12,https://www.eliteprospects.com/player/503023/evan-vierling
Robert Mastrosimone,Charlotte Checkers,35,11,14,25,0.4,0.314,0.71,0.571,10,https://www.eliteprospects.com/player/385680/robert-mastrosimone
Carson Meyer,Rochester Americans,40,11,14,25,0.35,0.275,0.63,0.3,-6,https://www.eliteprospects.com/player/272540/carson-meyer
Ryan Tverberg,Toronto Marlies,52,10,15,25,0.288,0.192,0.48,0.5,13,https://www.eliteprospects.com/player/201945/ryan-tverberg
Samuel Blais,Laval Rocket,25,9,16,25,0.64,0.36,1,1.84,2,https://www.eliteprospects.com/player/213830/samuel-blais
Cameron Lund,San Jose Barracuda,37,9,16,25,0.432,0.243,0.68,0.324,-3,https://www.eliteprospects.com/player/603638/cameron-lund
Henrik Rybinski,Hershey Bears,47,9,16,25,0.34,0.191,0.53,0.426,10,https://www.eliteprospects.com/player/351688/henrik-rybinski
Cooper Marody,totals,42,8,17,25,0.405,0.19,0.6,0.238,-3,https://www.eliteprospects.com/player/248334/cooper-marody
Jaroslav Chmelar,Hartford Wolf Pack,46,8,17,25,0.37,0.174,0.54,0.913,-7,https://www.eliteprospects.com/player/579280/jaroslav-chmelar
Dylan Gambrell,Iowa Wild,28,6,19,25,0.679,0.214,0.89,0.071,-4,https://www.eliteprospects.com/player/192301/dylan-gambrell
Florian Xhekaj,Laval Rocket,53,13,11,24,0.208,0.245,0.45,2.509,9,https://www.eliteprospects.com/player/620316/florian-xhekaj
Hunter Drew,Bridgeport Islanders,56,13,11,24,0.196,0.232,0.43,2.429,-4,https://www.eliteprospects.com/player/267823/hunter-drew
Matyas Sapovaliv,Henderson Silver Knights,57,13,11,24,0.193,0.228,0.42,0.105,-13,https://www.eliteprospects.com/player/559506/matyas-sapovaliv
Olle Lycksell,Belleville Senators,34,12,12,24,0.353,0.353,0.71,0.353,-9,https://www.eliteprospects.com/player/265290/olle-lycksell
Lucas Carlsson,San Jose Barracuda,53,12,12,24,0.226,0.226,0.45,0.566,4,https://www.eliteprospects.com/player/212334/lucas-carlsson
Owen Beck,Laval Rocket,47,10,14,24,0.298,0.213,0.51,0.553,5,https://www.eliteprospects.com/player/647942/owen-beck
Brayden Yager,Manitoba Moose,55,9,15,24,0.273,0.164,0.44,0.145,-10,https://www.eliteprospects.com/player/565757/brayden-yager
Jackson Hallum,Henderson Silver Knights,56,9,15,24,0.268,0.161,0.43,0.821,9,https://www.eliteprospects.com/player/587538/jackson-hallum
Marc Del Gaizo,Laval Rocket,52,8,16,24,0.308,0.154,0.46,0.654,26,https://www.eliteprospects.com/player/201481/marc-del-gaizo
Filip Mesar,Laval Rocket,61,8,16,24,0.262,0.131,0.39,0.328,4,https://www.eliteprospects.com/player/527430/filip-mesar
Rutger McGroarty,Wilkes-Barre/Scranton Penguins,22,7,17,24,0.773,0.318,1.09,0.318,6,https://www.eliteprospects.com/player/526095/rutger-mcgroarty
Christian Wolanin,Providence Bruins,43,7,17,24,0.395,0.163,0.56,0.233,7,https://www.eliteprospects.com/player/188788/christian-wolanin
Victor Soderstrom,Providence Bruins,46,7,17,24,0.37,0.152,0.52,0.63,7,https://www.eliteprospects.com/player/344555/victor-soderstrom
Ondrej Becher,Grand Rapids Griffins,51,7,17,24,0.333,0.137,0.47,0.824,8,https://www.eliteprospects.com/player/593187/ond%C5%99ej-becher
Hugh McGing,Springfield Thunderbirds,54,7,17,24,0.315,0.13,0.44,0.778,-8,https://www.eliteprospects.com/player/233569/hugh-mcging
David Spacek,Iowa Wild,43,5,19,24,0.442,0.116,0.56,0.279,-3,https://www.eliteprospects.com/player/559551/david-spacek
Marshall Warren,Bridgeport Islanders,43,4,20,24,0.465,0.093,0.56,0.698,7,https://www.eliteprospects.com/player/381692/marshall-warren
Daniil Gushchin,Colorado Eagles,38,16,7,23,0.184,0.421,0.61,0.579,7,https://www.eliteprospects.com/player/512924/daniil-gushchin
Jonas Rondbjerg,Henderson Silver Knights,36,12,11,23,0.306,0.333,0.64,0.167,12,https://www.eliteprospects.com/player/220099/jonas-rondbjerg
Hunter Haight,Iowa Wild,43,12,11,23,0.256,0.279,0.53,0.279,-12,https://www.eliteprospects.com/player/603614/hunter-haight
Harrison Scott,Texas Stars,56,12,11,23,0.196,0.214,0.41,0.5,-5,https://www.eliteprospects.com/player/393183/harrison-scott
Brett Chorske,Charlotte Checkers,53,11,12,23,0.226,0.208,0.43,0.264,7,https://www.eliteprospects.com/player/511065/brett-chorske
Shane Lachance,Utica Comets,55,10,13,23,0.236,0.182,0.42,0.255,-17,https://www.eliteprospects.com/player/659483/shane-lachance
Sam Colangelo,San Diego Gulls,38,9,14,23,0.368,0.237,0.61,0.263,-9,https://www.eliteprospects.com/player/386333/sam-colangelo
Oasiz Wiesblatt,Milwaukee Admirals,52,9,14,23,0.269,0.173,0.44,1.846,-14,https://www.eliteprospects.com/player/562425/oasiz-wiesblatt
Jaret Anderson-Dolan,Manitoba Moose,55,9,14,23,0.255,0.164,0.42,0.855,-7,https://www.eliteprospects.com/player/278859/jaret-anderson-dolan
Chase Wouters,Abbotsford Canucks,59,9,14,23,0.237,0.153,0.39,1.068,-25,https://www.eliteprospects.com/player/282350/chase-wouters
Isaak Phillips,Manitoba Moose,50,8,15,23,0.3,0.16,0.46,0.74,1,https://www.eliteprospects.com/player/416750/isaak-phillips
Matthew Barbolini,Toronto Marlies,52,8,15,23,0.288,0.154,0.44,0.269,-7,https://www.eliteprospects.com/player/439045/matthew-barbolini
Juuso Valimaki,totals,27,7,16,23,0.593,0.259,0.85,0.444,5,https://www.eliteprospects.com/player/221525/juuso-valimaki
Trey Taylor,Texas Stars,55,7,16,23,0.291,0.127,0.42,0.509,-5,https://www.eliteprospects.com/player/485649/trey-taylor
Antti Tuomisto,Grand Rapids Griffins,56,7,16,23,0.286,0.125,0.41,0.393,19,https://www.eliteprospects.com/player/396170/antti-tuomisto
Owen Pickering,Wilkes-Barre/Scranton Penguins,57,6,17,23,0.298,0.105,0.4,0.491,7,https://www.eliteprospects.com/player/580641/owen-pickering
Cole McWard,Bridgeport Islanders,50,5,18,23,0.36,0.1,0.46,0.44,-11,https://www.eliteprospects.com/player/376492/cole-mcward
Samuel Bolduc,totals,58,5,18,23,0.31,0.086,0.4,0.379,11,https://www.eliteprospects.com/player/356985/samuel-bolduc
Wyatt Aamodt,Colorado Eagles,58,4,19,23,0.328,0.069,0.4,0.586,26,https://www.eliteprospects.com/player/300969/wyatt-aamodt
Erik Gustafsson,Grand Rapids Griffins,26,3,20,23,0.769,0.115,0.88,1,17,https://www.eliteprospects.com/player/15372/erik-gustafsson
William Villeneuve,Toronto Marlies,51,3,20,23,0.392,0.059,0.45,0.784,2,https://www.eliteprospects.com/player/410562/william-villeneuve
Jared Davidson,Laval Rocket,42,14,8,22,0.19,0.333,0.52,1.19,3,https://www.eliteprospects.com/player/475625/jared-davidson
Kevin Rooney,Tucson Roadrunners,38,12,10,22,0.263,0.316,0.58,0.158,0,https://www.eliteprospects.com/player/180925/kevin-rooney
Nikita Pavlychev,Chicago Wolves,54,12,10,22,0.185,0.222,0.41,0.667,4,https://www.eliteprospects.com/player/248436/nikita-pavlychev
Lucas Mercuri,Syracuse Crunch,55,12,10,22,0.182,0.218,0.4,1.855,15,https://www.eliteprospects.com/player/296187/lucas-mercuri
Dillon Dube,Springfield Thunderbirds,33,11,11,22,0.333,0.333,0.67,0.182,-9,https://www.eliteprospects.com/player/157256/dillon-dube
Sandis Vilmanis,Charlotte Checkers,34,11,11,22,0.324,0.324,0.65,0.471,9,https://www.eliteprospects.com/player/638444/sandis-vilmanis
Joey Anderson,Rockford IceHogs,39,11,11,22,0.282,0.282,0.56,0.154,-2,https://www.eliteprospects.com/player/247964/joey-anderson
Eduard Sale,Coachella Valley Firebirds,44,10,12,22,0.273,0.227,0.5,0.227,-4,https://www.eliteprospects.com/player/595291/eduard-sale
Alexis Gendron,totals,52,10,12,22,0.231,0.192,0.42,0.885,-11,https://www.eliteprospects.com/player/485293/alexis-gendron
Ethan Edwards,Utica Comets,56,10,12,22,0.214,0.179,0.39,1.054,-6,https://www.eliteprospects.com/player/413501/ethan-edwards
Lenni Hameenaho,Utica Comets,34,9,13,22,0.382,0.265,0.65,0.294,-13,https://www.eliteprospects.com/player/642183/lenni-hameenaho
Cross Hanas,Texas Stars,40,9,13,22,0.325,0.225,0.55,0.65,3,https://www.eliteprospects.com/player/252712/cross-hanas
Sammy Walker,Tucson Roadrunners,44,9,13,22,0.295,0.205,0.5,0.273,-5,https://www.eliteprospects.com/player/300078/sammy-walker
Dylan Roobroeck,Hartford Wolf Pack,58,9,13,22,0.224,0.155,0.38,1.172,-11,https://www.eliteprospects.com/player/603612/dylan-roobroeck
Jakub Brabenec,Henderson Silver Knights,49,8,14,22,0.286,0.163,0.45,0.327,2,https://www.eliteprospects.com/player/522504/jakub-brabenec
Kale Clague,Manitoba Moose,50,8,14,22,0.28,0.16,0.44,0.64,-16,https://www.eliteprospects.com/player/108472/kale-clague
Michael Karow,Texas Stars,54,8,14,22,0.259,0.148,0.41,0.389,23,https://www.eliteprospects.com/player/350368/michael-karow
Matteo Pietroniro,Syracuse Crunch,53,7,15,22,0.283,0.132,0.42,1.321,18,https://www.eliteprospects.com/player/266502/matteo-pietroniro
Jamie Engelbert,Rockford IceHogs,57,7,15,22,0.263,0.123,0.39,0.772,-13,https://www.eliteprospects.com/player/416714/jamie-engelbert
Brett Berard,Hartford Wolf Pack,41,6,16,22,0.39,0.146,0.54,1.293,-16,https://www.eliteprospects.com/player/201740/brett-berard
David Reinbacher,Laval Rocket,48,5,17,22,0.354,0.104,0.46,0.833,17,https://www.eliteprospects.com/player/703646/david-reinbacher
Tyler Angle,Grand Rapids Griffins,49,5,17,22,0.347,0.102,0.45,0.408,12,https://www.eliteprospects.com/player/403916/tyler-angle
Roland McKeown,San Diego Gulls,58,5,17,22,0.293,0.086,0.38,0.655,-8,https://www.eliteprospects.com/player/189364/roland-mckeown
Gustav Olofsson,Coachella Valley Firebirds,34,4,18,22,0.529,0.118,0.65,0.529,18,https://www.eliteprospects.com/player/39017/gustav-olofsson
Josiah Slavin,Chicago Wolves,56,4,18,22,0.321,0.071,0.39,0.357,0,https://www.eliteprospects.com/player/324913/josiah-slavin
Roman Ahcan,Cleveland Monsters,53,13,8,21,0.151,0.245,0.4,1.226,7,https://www.eliteprospects.com/player/340279/roman-ahcan
Taylor Ward,Ontario Reign,32,12,9,21,0.281,0.375,0.66,0.719,1,https://www.eliteprospects.com/player/247054/taylor-ward
Austin Watson,Grand Rapids Griffins,50,11,10,21,0.2,0.22,0.42,2.88,1,https://www.eliteprospects.com/player/33753/austin-watson
Jason Polin,Colorado Eagles,40,10,11,21,0.275,0.25,0.53,0.25,4,https://www.eliteprospects.com/player/284027/jason-polin
Danny Zhilkin,Manitoba Moose,49,10,11,21,0.224,0.204,0.43,0.245,-7,https://www.eliteprospects.com/player/619189/danny-zhilkin
Zayde Wisdom,Lehigh Valley Phantoms,57,10,11,21,0.193,0.175,0.37,0.333,5,https://www.eliteprospects.com/player/537563/zayde-wisdom
Marc Johnstone,Toronto Marlies,44,9,12,21,0.273,0.205,0.48,1,5,https://www.eliteprospects.com/player/293866/marc-johnstone
Jan Mysak,San Diego Gulls,47,9,12,21,0.255,0.191,0.45,0.66,2,https://www.eliteprospects.com/player/427906/jan-mysak
Jonathan Gruden,Utica Comets,55,9,12,21,0.218,0.164,0.38,0.945,-2,https://www.eliteprospects.com/player/276187/jonathan-gruden
Tyler Boucher,Belleville Senators,35,8,13,21,0.371,0.229,0.6,1.6,8,https://www.eliteprospects.com/player/478374/tyler-boucher
Corson Ceulemans,Cleveland Monsters,52,8,13,21,0.25,0.154,0.4,0.673,-11,https://www.eliteprospects.com/player/475841/corson-ceulemans
Tristan Allard,Syracuse Crunch,57,6,15,21,0.263,0.105,0.37,0.895,1,https://www.eliteprospects.com/player/413671/tristan-allard
Ian Mitchell,totals,47,4,17,21,0.362,0.085,0.45,0.213,26,https://www.eliteprospects.com/player/201362/ian-mitchell
Nikolas Brouillard,San Diego Gulls,53,4,17,21,0.321,0.075,0.4,0.623,7,https://www.eliteprospects.com/player/128256/nikolas-brouillard
Jorian Donovan,Belleville Senators,58,4,17,21,0.293,0.069,0.36,1.207,-12,https://www.eliteprospects.com/player/562241/jorian-donovan
Ville Heinola,Manitoba Moose,44,3,18,21,0.409,0.068,0.48,0.545,-2,https://www.eliteprospects.com/player/428795/ville-heinola
Dysin Mayo,Cleveland Monsters,45,3,18,21,0.4,0.067,0.47,0.756,13,https://www.eliteprospects.com/player/120638/dysin-mayo
Tristan Bertucci,Texas Stars,49,3,18,21,0.367,0.061,0.43,0.776,1,https://www.eliteprospects.com/player/603546/tristan-bertucci
Calen Addison,Utica Comets,52,3,18,21,0.346,0.058,0.4,0.5,-19,https://www.eliteprospects.com/player/278861/calen-addison
Maxence Guenette,Lehigh Valley Phantoms,34,2,19,21,0.559,0.059,0.62,0.441,-3,https://www.eliteprospects.com/player/410616/maxence-guenette
Jonathan Lekkerimaki,Abbotsford Canucks,21,13,7,20,0.333,0.619,0.95,0.381,5,https://www.eliteprospects.com/player/649220/jonathan-lekkerimaki
Borya Valis,Toronto Marlies,50,11,9,20,0.18,0.22,0.4,0.74,-4,https://www.eliteprospects.com/player/571887/borya-valis
John Hayden,Coachella Valley Firebirds,52,11,9,20,0.173,0.212,0.38,2.212,-5,https://www.eliteprospects.com/player/151828/john-hayden
Tyler Tullio,Tucson Roadrunners,40,9,11,20,0.275,0.225,0.5,0.6,3,https://www.eliteprospects.com/player/201944/tyler-tullio
Justin Pearson,Cleveland Monsters,47,9,11,20,0.234,0.191,0.43,0.638,5,https://www.eliteprospects.com/player/386534/justin-pearson
Riese Gaber,Charlotte Checkers,38,8,12,20,0.316,0.211,0.53,0.895,9,https://www.eliteprospects.com/player/283845/riese-gaber
Nathan Gaucher,San Diego Gulls,53,8,12,20,0.226,0.151,0.38,0.811,1,https://www.eliteprospects.com/player/340644/nathan-gaucher
Matthew Strome,Hershey Bears,44,7,13,20,0.295,0.159,0.45,0.636,0,https://www.eliteprospects.com/player/268417/matthew-strome
Cedric Pare,Toronto Marlies,49,7,13,20,0.265,0.143,0.41,0.959,0,https://www.eliteprospects.com/player/319958/cedric-pare
Curtis McKenzie,Texas Stars,56,7,13,20,0.232,0.125,0.36,1,-6,https://www.eliteprospects.com/player/19277/curtis-mckenzie
Jagger Joshua,Rochester Americans,56,7,13,20,0.232,0.125,0.36,1.571,-4,https://www.eliteprospects.com/player/317021/jagger-joshua
Matt Dumba,Wilkes-Barre/Scranton Penguins,27,6,14,20,0.519,0.222,0.74,1.593,3,https://www.eliteprospects.com/player/53542/matt-dumba
Jack Studnicka,Charlotte Checkers,29,6,14,20,0.483,0.207,0.69,0.966,7,https://www.eliteprospects.com/player/284096/jack-studnicka
Parker Ford,Manitoba Moose,40,6,14,20,0.35,0.15,0.5,0.45,3,https://www.eliteprospects.com/player/394933/parker-ford
Noel Nordh,Tucson Roadrunners,53,6,14,20,0.264,0.113,0.38,0.189,-7,https://www.eliteprospects.com/player/637582/noel-nordh
Daylan Kuefler,Bridgeport Islanders,56,6,14,20,0.25,0.107,0.36,0.607,3,https://www.eliteprospects.com/player/413108/daylan-kuefler
Jack Thompson,totals,48,5,15,20,0.312,0.104,0.42,0.292,16,https://www.eliteprospects.com/player/201878/jack-thompson
Jakub Rychlovsky,Grand Rapids Griffins,55,5,15,20,0.273,0.091,0.36,0.364,7,https://www.eliteprospects.com/player/386542/jakub-rychlovsky
Noah Chadwick,Toronto Marlies,56,5,15,20,0.268,0.089,0.36,0.393,-5,https://www.eliteprospects.com/player/603568/noah-chadwick
Henry Thrun,Toronto Marlies,42,4,16,20,0.381,0.095,0.48,0.452,-4,https://www.eliteprospects.com/player/445218/henry-thrun
Gavin Bayreuther,totals,48,4,16,20,0.333,0.083,0.42,0.625,6,https://www.eliteprospects.com/player/178941/gavin-bayreuther
Topias Vilen,Utica Comets,53,4,16,20,0.302,0.075,0.38,0.34,2,https://www.eliteprospects.com/player/557184/topias-vilen
Aydar Suniev,Calgary Wranglers,48,15,4,19,0.083,0.312,0.4,0.208,-24,https://www.eliteprospects.com/player/620335/aydar-suniev
Jake Leschyshyn,Rochester Americans,51,11,8,19,0.157,0.216,0.37,0.353,-12,https://www.eliteprospects.com/player/279125/jake-leschyshyn
Kevin Lombardi,Rockford IceHogs,32,10,9,19,0.281,0.312,0.59,0.938,2,https://www.eliteprospects.com/player/317209/kevin-lombardi
Arttu Hyry,Texas Stars,27,9,10,19,0.37,0.333,0.7,0.481,-1,https://www.eliteprospects.com/player/470647/arttu-hyry
Koehn Ziemmer,Ontario Reign,44,9,10,19,0.227,0.205,0.43,0.455,8,https://www.eliteprospects.com/player/564977/koehn-ziemmer
Dylan Peterson,Springfield Thunderbirds,46,9,10,19,0.217,0.196,0.41,1.696,-11,https://www.eliteprospects.com/player/342192/dylan-peterson
Hunter McKown,Cleveland Monsters,49,9,10,19,0.204,0.184,0.39,0.551,-11,https://www.eliteprospects.com/player/417327/hunter-mckown
Mitchell Stephens,Coachella Valley Firebirds,54,9,10,19,0.185,0.167,0.35,0.37,-15,https://www.eliteprospects.com/player/186392/mitchell-stephens
Viktor Neuchev,totals,49,8,11,19,0.224,0.163,0.39,0.163,-3,https://www.eliteprospects.com/player/618304/viktor-neuchev
William Trudeau,Laval Rocket,52,8,11,19,0.212,0.154,0.37,0.923,6,https://www.eliteprospects.com/player/425657/william-trudeau
Karsen Dorwart,Lehigh Valley Phantoms,58,8,11,19,0.19,0.138,0.33,0.276,-8,https://www.eliteprospects.com/player/561422/karsen-dorwart
Rhett Pitlick,Bakersfield Condors,52,7,12,19,0.231,0.135,0.37,0.423,-8,https://www.eliteprospects.com/player/497477/rhett-pitlick
Gracyn Sawchyn,Charlotte Checkers,29,6,13,19,0.448,0.207,0.66,0.069,11,https://www.eliteprospects.com/player/535611/gracyn-sawchyn
Nikita Novikov,totals,53,6,13,19,0.245,0.113,0.36,0.868,8,https://www.eliteprospects.com/player/539224/nikita-novikov
Riley Heidt,Iowa Wild,55,5,14,19,0.255,0.091,0.35,0.473,-14,https://www.eliteprospects.com/player/565748/riley-heidt
Jean-Luc Foudy,Iowa Wild,52,4,15,19,0.288,0.077,0.37,0.538,-12,https://www.eliteprospects.com/player/534469/jean-luc-foudy
Will Butcher,Cleveland Monsters,49,3,16,19,0.327,0.061,0.39,0.163,-17,https://www.eliteprospects.com/player/97590/will-butcher
Casey Fitzgerald,Hartford Wolf Pack,57,3,16,19,0.281,0.053,0.33,1.175,-2,https://www.eliteprospects.com/player/177660/casey-fitzgerald
Ryan Schmelzer,Utica Comets,56,2,17,19,0.304,0.036,0.34,0.607,-9,https://www.eliteprospects.com/player/103818/ryan-schmelzer
Seamus Casey,Utica Comets,29,1,18,19,0.621,0.034,0.66,0.448,-13,https://www.eliteprospects.com/player/526229/seamus-casey
Ben Gleason,Iowa Wild,49,1,18,19,0.367,0.02,0.39,0.367,-17,https://www.eliteprospects.com/player/233504/ben-gleason
Max Jones,Bakersfield Condors,39,10,8,18,0.205,0.256,0.46,1.564,2,https://www.eliteprospects.com/player/233448/max-jones
Arshdeep Bains,Abbotsford Canucks,23,9,9,18,0.391,0.391,0.78,0.435,4,https://www.eliteprospects.com/player/290353/arshdeep-bains
Ethan Gauthier,Syracuse Crunch,47,9,9,18,0.191,0.191,0.38,0.213,1,https://www.eliteprospects.com/player/599319/ethan-gauthier
Jakub Stancl,Springfield Thunderbirds,47,9,9,18,0.191,0.191,0.38,0.255,-11,https://www.eliteprospects.com/player/672903/jakub-stancl
Brett Harrison,totals,49,9,9,18,0.184,0.184,0.37,0.163,4,https://www.eliteprospects.com/player/529247/brett-harrison
Samuel Savoie,Rockford IceHogs,49,9,9,18,0.184,0.184,0.37,0.878,-9,https://www.eliteprospects.com/player/573943/samuel-savoie
Oskar Pettersson,Belleville Senators,57,9,9,18,0.158,0.158,0.32,0.281,-6,https://www.eliteprospects.com/player/562987/oskar-pettersson
Brennan Othmann,totals,30,8,10,18,0.333,0.267,0.6,1.867,-16,https://www.eliteprospects.com/player/529248/brennan-othmann
David Edstrom,Milwaukee Admirals,46,8,10,18,0.217,0.174,0.39,0.478,6,https://www.eliteprospects.com/player/608308/david-edstrom
Chris Terry,Bridgeport Islanders,48,8,10,18,0.208,0.167,0.38,0.25,-9,https://www.eliteprospects.com/player/14370/chris-terry
Carson Lambos,Iowa Wild,54,8,10,18,0.185,0.148,0.33,0.815,-3,https://www.eliteprospects.com/player/472875/carson-lambos
Lukas Reichel,totals,26,7,11,18,0.423,0.269,0.69,0,4,https://www.eliteprospects.com/player/381687/lukas-reichel
Ty Gallagher,Providence Bruins,31,7,11,18,0.355,0.226,0.58,0.613,11,https://www.eliteprospects.com/player/512168/ty-gallagher
Joona Koppanen,Wilkes-Barre/Scranton Penguins,34,7,11,18,0.324,0.206,0.53,0.118,13,https://www.eliteprospects.com/player/279893/joona-koppanen
Boris Katchouk,totals,35,7,11,18,0.314,0.2,0.51,0.457,-6,https://www.eliteprospects.com/player/269859/boris-katchouk
Jordan Dumais,Cleveland Monsters,43,7,11,18,0.256,0.163,0.42,0.14,-11,https://www.eliteprospects.com/player/568363/jordan-dumais
Damien Carfagna,Bakersfield Condors,53,7,11,18,0.208,0.132,0.34,0.34,11,https://www.eliteprospects.com/player/478646/damien-carfagna
Clark Bishop,Calgary Wranglers,59,7,11,18,0.186,0.119,0.31,0.898,-8,https://www.eliteprospects.com/player/191376/clark-bishop
Danton Heinen,totals,13,6,12,18,0.923,0.462,1.38,0.462,10,https://www.eliteprospects.com/player/105821/danton-heinen
Trevor Carrick,Charlotte Checkers,47,4,14,18,0.298,0.085,0.38,0.872,7,https://www.eliteprospects.com/player/69391/trevor-carrick
Sawyer Mynio,Abbotsford Canucks,48,3,15,18,0.312,0.062,0.38,0.833,-19,https://www.eliteprospects.com/player/603585/sawyer-mynio
Joe Hicketts,Ontario Reign,55,3,15,18,0.273,0.055,0.33,0.927,-6,https://www.eliteprospects.com/player/120210/joe-hicketts
Tanner Molendyk,Milwaukee Admirals,44,2,16,18,0.364,0.045,0.41,0.182,-4,https://www.eliteprospects.com/player/603586/tanner-molendyk
Ethan Del Mastro,Rockford IceHogs,45,2,16,18,0.356,0.044,0.4,0.756,1,https://www.eliteprospects.com/player/525637/ethan-del-mastro
Tuomas Uronen,Henderson Silver Knights,49,11,6,17,0.122,0.224,0.35,0.408,1,https://www.eliteprospects.com/player/540333/tuomas-uronen
Carson Rehkopf,Coachella Valley Firebirds,54,11,6,17,0.111,0.204,0.31,0.37,-1,https://www.eliteprospects.com/player/603556/carson-rehkopf
Gabe Perreault,Hartford Wolf Pack,20,10,7,17,0.35,0.5,0.85,0.7,5,https://www.eliteprospects.com/player/637625/gabe-perreault
Wojciech Stachowiak,totals,38,9,8,17,0.211,0.237,0.45,0.737,-6,https://www.eliteprospects.com/player/215916/wojciech-stachowiak
Jan Jenik,totals,41,9,8,17,0.195,0.22,0.41,0.61,0,https://www.eliteprospects.com/player/247318/jan-jenik
Lucas Condotta,Laval Rocket,60,8,9,17,0.15,0.133,0.28,1.367,10,https://www.eliteprospects.com/player/238558/lucas-condotta
Alexander Suzdalev,Hershey Bears,31,7,10,17,0.323,0.226,0.55,0.129,0,https://www.eliteprospects.com/player/535701/alexander-suzdalev
Cameron Berg,Bridgeport Islanders,46,7,10,17,0.217,0.152,0.37,0.565,-9,https://www.eliteprospects.com/player/536648/cameron-berg
Ben Jones,Iowa Wild,22,6,11,17,0.5,0.273,0.77,0.545,-2,https://www.eliteprospects.com/player/273677/ben-jones
Jon-Randall Avon,Coachella Valley Firebirds,30,6,11,17,0.367,0.2,0.57,0.267,-2,https://www.eliteprospects.com/player/582515/jon-randall-avon
Aidan Thompson,totals,44,6,11,17,0.25,0.136,0.39,0.455,-10,https://www.eliteprospects.com/player/536536/aidan-thompson
Ivan Ivan,Colorado Eagles,54,6,11,17,0.204,0.111,0.31,0.704,3,https://www.eliteprospects.com/player/427962/ivan-ivan
Marc-Andre Gaudet,Springfield Thunderbirds,41,5,12,17,0.293,0.122,0.41,0.244,-16,https://www.eliteprospects.com/player/573863/marc-andre-gaudet
Jack Rathbone,Rochester Americans,46,5,12,17,0.261,0.109,0.37,0.457,-15,https://www.eliteprospects.com/player/311766/jack-rathbone
Ryan Johnson,Rochester Americans,52,5,12,17,0.231,0.096,0.33,0.615,-10,https://www.eliteprospects.com/player/290138/ryan-johnson
Nick Cicek,Calgary Wranglers,58,5,12,17,0.207,0.086,0.29,1.328,-9,https://www.eliteprospects.com/player/296031/nick-cicek
Nolan Allan,totals,52,4,13,17,0.25,0.077,0.33,1.077,-4,https://www.eliteprospects.com/player/482413/nolan-allan
