PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Cameron Butler,Iowa Wild,16,1,0,1,0,0.062,0.06,1.25,-3,https://www.eliteprospects.com/player/342193/cameron-butler
Carter Wilkie,Calgary Wranglers,17,1,0,1,0,0.059,0.06,0.412,-4,https://www.eliteprospects.com/player/411159/carter-wilkie
Josh Bloom,Abbotsford Canucks,19,1,0,1,0,0.053,0.05,0,-12,https://www.eliteprospects.com/player/617949/josh-bloom
Matthew Savoie,Bakersfield Condors,1,0,1,1,1,0,1,0,-1,https://www.eliteprospects.com/player/476028/matthew-savoie
Nick Leddy,San Jose Barracuda,1,0,1,1,1,0,1,0,1,https://www.eliteprospects.com/player/38067/nick-leddy
Neil Shea,Colorado Eagles,1,0,1,1,1,0,1,0,-1,https://www.eliteprospects.com/player/353682/neil-shea
Bennett Schimek,Abbotsford Canucks,2,0,1,1,0.5,0,0.5,0,-2,https://www.eliteprospects.com/player/512109/bennett-schimek
Michael Misa,San Jose Barracuda,2,0,1,1,0.5,0,0.5,0,0,https://www.eliteprospects.com/player/577184/michael-misa
Easton Cowan,Toronto Marlies,2,0,1,1,0.5,0,0.5,1,1,https://www.eliteprospects.com/player/709773/easton-cowan
Robby Drazner,Abbotsford Canucks,2,0,1,1,0.5,0,0.5,3,-1,https://www.eliteprospects.com/player/283980/robby-drazner
Aidan Hreschuk,Texas Stars,3,0,1,1,0.333,0,0.33,0,-1,https://www.eliteprospects.com/player/512181/aidan-hreschuk
Simon Pinard,Hershey Bears,3,0,1,1,0.333,0,0.33,0,2,https://www.eliteprospects.com/player/295310/simon-pinard
Israel Mianscum,Laval Rocket,3,0,1,1,0.333,0,0.33,1.667,0,https://www.eliteprospects.com/player/485049/israel-mianscum
Austin Brimmer,Abbotsford Canucks,3,0,1,1,0.333,0,0.33,2.333,-2,https://www.eliteprospects.com/player/418535/austin-brimmer
David Kampf,Toronto Marlies,4,0,1,1,0.25,0,0.25,0,-1,https://www.eliteprospects.com/player/160499/david-kampf
Peter Tischke,Rochester Americans,4,0,1,1,0.25,0,0.25,0,2,https://www.eliteprospects.com/player/194272/peter-tischke
Keaton Mastrodonato,Ontario Reign,4,0,1,1,0.25,0,0.25,0,-3,https://www.eliteprospects.com/player/344047/keaton-mastrodonato
Isak Walther,Milwaukee Admirals,4,0,1,1,0.25,0,0.25,0,-1,https://www.eliteprospects.com/player/431803/isak-walther
Jakub Demek,Henderson Silver Knights,4,0,1,1,0.25,0,0.25,0,-4,https://www.eliteprospects.com/player/556420/jakub-demek
Drew Callin,Bridgeport Islanders,4,0,1,1,0.25,0,0.25,0.5,-3,https://www.eliteprospects.com/player/190462/drew-callin
Jackson Jutting,Grand Rapids Griffins,4,0,1,1,0.25,0,0.25,0.5,-1,https://www.eliteprospects.com/player/413300/jackson-jutting
Radim Mrtka,Rochester Americans,4,0,1,1,0.25,0,0.25,1.75,0,https://www.eliteprospects.com/player/872673/radim-mrtka
Milan Lucic,Springfield Thunderbirds,5,0,1,1,0.2,0,0.2,0.8,-7,https://www.eliteprospects.com/player/11104/milan-lucic
Noah Beck,San Jose Barracuda,5,0,1,1,0.2,0,0.2,1.2,3,https://www.eliteprospects.com/player/530038/noah-beck
Jordan Gustafson,Henderson Silver Knights,6,0,1,1,0.167,0,0.17,0,-4,https://www.eliteprospects.com/player/511853/jordan-gustafson
Case McCarthy,Hartford Wolf Pack,6,0,1,1,0.167,0,0.17,0,3,https://www.eliteprospects.com/player/290196/case-mccarthy
Curtis Douglas,Syracuse Crunch,6,0,1,1,0.167,0,0.17,0,0,https://www.eliteprospects.com/player/351462/curtis-douglas
Hank Kempf,Colorado Eagles,6,0,1,1,0.167,0,0.17,0.333,1,https://www.eliteprospects.com/player/201723/hank-kempf
Riley Kidney,totals,6,0,1,1,0.167,0,0.17,0.667,2,https://www.eliteprospects.com/player/473664/riley-kidney
Kyle Jackson,Hartford Wolf Pack,7,0,1,1,0.143,0,0.14,0,-3,https://www.eliteprospects.com/player/413825/kyle-jackson
Ludwig Persson,Hershey Bears,7,0,1,1,0.143,0,0.14,0.286,-1,https://www.eliteprospects.com/player/423614/ludwig-persson
Wyatte Wylie,Laval Rocket,8,0,1,1,0.125,0,0.13,1,-3,https://www.eliteprospects.com/player/300071/wyatte-wylie
Chase Yoder,Manitoba Moose,8,0,1,1,0.125,0,0.13,1,-2,https://www.eliteprospects.com/player/415335/chase-yoder
Konnor Smith,San Diego Gulls,8,0,1,1,0.125,0,0.13,1.75,-2,https://www.eliteprospects.com/player/640821/konnor-smith
Rhett Parsons,Toronto Marlies,8,0,1,1,0.125,0,0.13,5.875,-5,https://www.eliteprospects.com/player/505836/rhett-parsons
Zach Urdahl,Wilkes-Barre/Scranton Penguins,9,0,1,1,0.111,0,0.11,0.222,3,https://www.eliteprospects.com/player/564451/zach-urdahl
Carson Golder,Lehigh Valley Phantoms,9,0,1,1,0.111,0,0.11,0.444,-2,https://www.eliteprospects.com/player/477356/carson-golder
Samuel Laberge,San Jose Barracuda,9,0,1,1,0.111,0,0.11,3,0,https://www.eliteprospects.com/player/231410/samuel-laberge
Ben King,Toronto Marlies,10,0,1,1,0.1,0,0.1,0.7,-1,https://www.eliteprospects.com/player/201803/ben-king
Ryan Hofer,Hershey Bears,11,0,1,1,0.091,0,0.09,0.182,-1,https://www.eliteprospects.com/player/416983/ryan-hofer
Brendan Smith,Cleveland Monsters,11,0,1,1,0.091,0,0.09,0.727,-5,https://www.eliteprospects.com/player/12506/brendan-smith
Andrej Sustr,Bridgeport Islanders,11,0,1,1,0.091,0,0.09,1.909,-6,https://www.eliteprospects.com/player/44405/andrej-sustr
Derek Daschke,Abbotsford Canucks,13,0,1,1,0.077,0,0.08,0,-2,https://www.eliteprospects.com/player/272191/derek-daschke
Tyson Feist,Bakersfield Condors,13,0,1,1,0.077,0,0.08,2.692,5,https://www.eliteprospects.com/player/407570/tyson-feist
Chris Ortiz,Hartford Wolf Pack,14,0,1,1,0.071,0,0.07,0.286,2,https://www.eliteprospects.com/player/296699/chris-ortiz
Jake Chiasson,Belleville Senators,20,0,1,1,0.05,0,0.05,0.2,0,https://www.eliteprospects.com/player/477353/jake-chiasson
Travis Howe,San Diego Gulls,20,0,1,1,0.05,0,0.05,3.9,-1,https://www.eliteprospects.com/player/207070/travis-howe
Navrin Mutter,totals,28,0,1,1,0.036,0,0.04,2.643,-10,https://www.eliteprospects.com/player/418410/navrin-mutter
Zack Hayes,Milwaukee Admirals,30,0,1,1,0.033,0,0.03,0.467,-8,https://www.eliteprospects.com/player/281743/zack-hayes
